Evaluation Method,Original time series length,Window size,Stride,Number of windows evaluated, anomaly rate,Window scoring method,Window labeling method,Metrics,AUC-ROC,AU-PR,F1,Precision,Recall,FPR,Threshold,kpi_id,confusion_matrix,predictions_for_auc,individual_metrics,num_samples,num_anomalies
CARLA-style   ,21444.0,100.0,1.0,21345.0,0.1930662918716327,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.5014273225071635,0.20936453758730691,0.31045689160772316,0.256111023497871,0.394079107012861,0.273862052949373,0.5,da10a69f-d836-3baa-ad40-3e548ecf1fbd,"{'tp': 1624, 'fp': 4717, 'tn': 12507, 'fn': 2497}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.0041548 , 0.00416575, 0.00416204, ..., 0.00424587, 0.00428169,
       0.00424811])}","{'auc': 0.5014273225071635, 'aupr': 0.20936453758730691, 'f1': 0.31045689160772316, 'precision': 0.256111023497871, 'recall': 0.394079107012861}",21345,4121
CARLA-style   ,1657.0,100.0,1.0,1558.0,0.15725288831835688,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.4834885058364549,0.2327332186027658,0.2666666666666666,0.5176470588235295,0.17959183673469387,0.031226199543031227,0.5,e0747cad-8dc8-38a9-a9ab-855b61f5551d,"{'tp': 44, 'fp': 41, 'tn': 1272, 'fn': 201}","{'y_true': array([1, 1, 1, ..., 0, 0, 0]), 'y_scores': array([0.00645811, 0.00621933, 0.00626829, ..., 0.00585178, 0.00587561,
       0.00590916])}","{'auc': 0.4834885058364549, 'aupr': 0.2327332186027658, 'f1': 0.2666666666666666, 'precision': 0.5176470588235295, 'recall': 0.17959183673469387}",1558,245
CARLA-style   ,2128.0,100.0,1.0,2029.0,0.14342040413997043,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.7657753312849228,0.6104321471512278,0.5831903945111492,0.5821917808219178,0.584192439862543,0.07019562715765247,0.5,ab216663-dcc2-3a24-b1ee-2c3e550e06c9,"{'tp': 170, 'fp': 122, 'tn': 1616, 'fn': 121}","{'y_true': array([0, 0, 0, ..., 1, 1, 1]), 'y_scores': array([0.0051812 , 0.00527986, 0.00518978, ..., 0.00509312, 0.00515444,
       0.00522599])}","{'auc': 0.7657753312849228, 'aupr': 0.6104321471512278, 'f1': 0.5831903945111492, 'precision': 0.5821917808219178, 'recall': 0.584192439862543}",2029,291
CARLA-style   ,1673.0,100.0,1.0,1574.0,0.22935196950444728,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.894223017951874,0.7950314884642387,0.7431059506531204,0.7804878048780488,0.7091412742382271,0.05935696619950536,0.5,a8c06b47-cc41-3738-9110-12df0ee4c721,"{'tp': 256, 'fp': 72, 'tn': 1141, 'fn': 105}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00564895, 0.00561935, 0.00562796, ..., 0.0055492 , 0.005609  ,
       0.00571845])}","{'auc': 0.894223017951874, 'aupr': 0.7950314884642387, 'f1': 0.7431059506531204, 'precision': 0.7804878048780488, 'recall': 0.7091412742382271}",1574,361
CARLA-style   ,1657.0,100.0,1.0,1558.0,0.12965340179717585,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.4079740938695639,0.10198102191668587,0.1834862385321101,0.11553273427471117,0.44554455445544555,0.5081120943952803,0.5,0efb375b-b902-3661-ab23-9a0bb799f4e3,"{'tp': 90, 'fp': 689, 'tn': 667, 'fn': 112}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00628581, 0.00621466, 0.00624209, ..., 0.00631917, 0.00622151,
       0.00610018])}","{'auc': 0.4079740938695639, 'aupr': 0.10198102191668587, 'f1': 0.1834862385321101, 'precision': 0.11553273427471117, 'recall': 0.44554455445544555}",1558,202
CARLA-style   ,1657.0,100.0,1.0,1558.0,0.12965340179717585,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.39795262712111923,0.10016065093563054,0.1459403905447071,0.09208819714656291,0.35148514851485146,0.5162241887905604,0.5,301c70d8-1630-35ac-8f96-bc1b6f4359ea,"{'tp': 71, 'fp': 700, 'tn': 656, 'fn': 131}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00599403, 0.00584954, 0.00598051, ..., 0.0059418 , 0.00584233,
       0.00584782])}","{'auc': 0.39795262712111923, 'aupr': 0.10016065093563054, 'f1': 0.1459403905447071, 'precision': 0.09208819714656291, 'recall': 0.35148514851485146}",1558,202
CARLA-style   ,25699.0,100.0,1.0,25600.0,0.0674609375,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.8860008730332345,0.647210556054545,0.6508710801393729,0.8171478565179353,0.540822235089751,0.008754660076236752,0.5,7103fa0f-cac4-314f-addc-866190247439,"{'tp': 934, 'fp': 209, 'tn': 23664, 'fn': 793}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00362159, 0.00379113, 0.00361952, ..., 0.00328473, 0.00328836,
       0.00332052])}","{'auc': 0.8860008730332345, 'aupr': 0.647210556054545, 'f1': 0.6508710801393729, 'precision': 0.8171478565179353, 'recall': 0.540822235089751}",25600,1727
CARLA-style   ,25675.0,100.0,1.0,25576.0,0.01579605880512981,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.615369131661299,0.0226028048004463,0.07766143106457242,0.042583732057416265,0.4405940594059406,0.15898617511520738,0.5,4d2af31a-9916-3d9f-8a8e-8a268a48c095,"{'tp': 178, 'fp': 4002, 'tn': 21170, 'fn': 226}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00440028, 0.00437641, 0.00438462, ..., 0.00592833, 0.00600293,
       0.00586681])}","{'auc': 0.615369131661299, 'aupr': 0.0226028048004463, 'f1': 0.07766143106457242, 'precision': 0.042583732057416265, 'recall': 0.4405940594059406}",25576,404
CARLA-style   ,25657.0,100.0,1.0,25558.0,0.015807183660693325,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.6822188192024259,0.05497269943414481,0.20095693779904306,0.13249211356466878,0.4158415841584158,0.04373061938459092,0.5,ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa,"{'tp': 168, 'fp': 1100, 'tn': 24054, 'fn': 236}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00430019, 0.00427253, 0.0042631 , ..., 0.00457922, 0.00458613,
       0.00457352])}","{'auc': 0.6822188192024259, 'aupr': 0.05497269943414481, 'f1': 0.20095693779904306, 'precision': 0.13249211356466878, 'recall': 0.4158415841584158}",25558,404
CARLA-style   ,25658.0,100.0,1.0,25559.0,0.007903282601040729,Mean of timestep scores within window,ANY anomaly rule (max of timestep labels),,0.9999921907243767,0.9991335165905255,0.8820960698689956,0.7890625,1.0,0.002129589462475845,0.5,57051487-3a40-3828-9084-a12f7f23ee38,"{'tp': 202, 'fp': 54, 'tn': 25303, 'fn': 0}","{'y_true': array([0, 0, 0, ..., 0, 0, 0]), 'y_scores': array([0.00351491, 0.00392518, 0.00386091, ..., 0.00295982, 0.0029606 ,
       0.00301887])}","{'auc': 0.9999921907243767, 'aupr': 0.9991335165905255, 'f1': 0.8820960698689956, 'precision': 0.7890625, 'recall': 1.0}",25559,202
