filename,feature_dim,auc,aupr,f1,precision,recall,num_samples,num_anomalies,anomaly_ratio,seed
C-1,55,0.6738699023346137,0.37543671153284824,0.48997493734335845,0.37887596899224807,0.6932624113475178,2065,564,0.2731234866828087,42
C-2,55,0.7172389812587372,0.6961941566282136,0.6217142857142857,0.8,0.508411214953271,1852,535,0.2888768898488121,42
D-14,55,0.936026353599516,0.857878224201227,0.7434554973821988,0.922077922077922,0.6228070175438597,2426,570,0.23495465787304204,42
D-15,55,0.8297907384780003,0.764236830711062,0.6620795107033639,0.6661538461538462,0.6580547112462006,1959,658,0.33588565594691167,42
D-16,55,0.5312557947872669,0.42190732151941124,0.4387865655471289,0.4066265060240964,0.4764705882352941,1992,850,0.4267068273092369,42
F-4,55,0.8177271073986278,0.18016608924828625,0.42345276872964166,0.27139874739039666,0.9629629629629629,3223,270,0.08377288240769469,42
F-5,55,0.8595679979670492,0.7455886636752477,0.7587412587412588,0.9774774774774775,0.62,3723,350,0.094010206822455,42
F-7,55,0.6541527980162077,0.28268497753512634,0.3706972639011474,0.2648171500630517,0.6176470588235294,4855,1020,0.21009268795056643,42
F-8,55,0.6053018918691846,0.26791644274004256,0.4120234604105572,0.33978234582829503,0.5232774674115456,2288,537,0.23470279720279721,42
M-1,55,0.18594310987201085,0.39556780508468337,0.27379873073436084,0.2906641000962464,0.258783204798629,2078,1167,0.5615976900866217,42
M-2,55,0.9352543463354206,0.9659188478790619,0.9410698096101541,0.9990375360923965,0.8894601542416453,2078,1167,0.5615976900866217,42
M-3,55,0.8420854006916253,0.6348579763848428,0.6186504927975739,0.46950517836593786,0.9066666666666666,1928,450,0.23340248962655602,42
M-4,55,0.7214158867290617,0.4711730967192851,0.5157048940832725,0.38411316648531013,0.7844444444444445,1839,450,0.24469820554649266,42
M-5,55,0.6859451371571074,0.29711455163214795,0.5283505154639175,0.3897338403041825,0.82,2104,500,0.2376425855513308,42
M-6,55,0.9957357958782403,0.9769896568640907,0.9503916449086162,0.9891304347826086,0.914572864321608,1850,199,0.10756756756756757,42
M-7,55,0.9634681150673908,0.9106400995383166,0.874296435272045,1.0,0.7766666666666666,1957,300,0.1532958610117527,42
P-10,55,0.8120412525905256,0.1343440508945179,0.3264642082429501,0.19881109643328929,0.9121212121212121,5901,330,0.05592272496187087,42
P-11,55,0.5933343550687903,0.24283817466826302,0.3673664122137405,0.2619047619047619,0.6150159744408946,3336,626,0.18764988009592326,42
P-14,55,0.8198109610196475,0.1823644663450169,0.3536842105263158,0.22105263157894736,0.8842105263157894,5901,380,0.06439586510760888,42
P-15,55,0.4672436303950461,0.07415824926892925,0.10594315245478035,0.061746987951807226,0.37272727272727274,2657,220,0.08280015054572827,42
S-2,55,0.7349452616025254,0.22588389121218677,0.3720190779014309,0.27923627684964203,0.5571428571428572,1628,210,0.128992628992629,42
T-12,55,0.7923534798534797,0.3870677167126104,0.41126070991432073,0.3380281690140845,0.525,2231,320,0.14343343792021515,42
T-13,55,0.5533109521724322,0.2855196145525887,0.47252124645892346,0.3739910313901345,0.6415384615384615,2231,650,0.29134917077543704,42
T-4,55,0.30018869936034115,0.09061822433972758,0.04385277995301488,0.027750247770069375,0.1044776119402985,2018,268,0.13280475718533202,42
T-5,55,0.47972748668400833,0.09846908738541205,0.17828200972447325,0.10901883052527254,0.4888888888888889,2019,225,0.11144130757800892,42
T-8,55,0.7538553591473846,0.5652079328170603,0.6311992786293958,0.5303030303030303,0.779510022271715,1320,449,0.34015151515151515,42
T-9,55,0.999934639098891,0.9998809563249836,0.9937106918238994,0.9875,1.0,897,316,0.35228539576365664,42
