machine_file,num_samples,num_anomalies,anomaly_ratio,auc,aupr,f1,precision,recall,seed
machine-1-1,28280,4286,0.15155586987270156,0.9865811695185422,0.9576701735074193,0.9054242002781642,0.8995854444956242,0.9113392440503967,42
machine-1-2,23495,2455,0.10449031708874229,0.9214469190679377,0.7016566396143427,0.662652800583835,0.6001321877065433,0.7397148676171079,42
machine-1-3,23504,3205,0.13635976855003404,0.8007349255002763,0.3732332315995908,0.4413102820746133,0.34723465187041347,0.6053042121684867,42
machine-1-4,23508,3108,0.13221031138335887,0.7169508715648422,0.4132773248391672,0.46020829239536254,0.591115598182736,0.3767696267696268,42
machine-1-5,23507,1493,0.0635129961288127,0.9815393613915908,0.8716723423337334,0.7982697601258357,0.9666666666666667,0.679839249832552,42
machine-1-6,23490,9458,0.40263942103022565,0.7190618005294005,0.7126817556626333,0.5892375067490552,0.6810428511995562,0.519242968915204,42
machine-1-7,23498,4791,0.20388969273980764,0.9306389505000695,0.7778750955514383,0.7293012331180271,0.833780880773362,0.6480901690670007,42
machine-1-8,23500,4551,0.1936595744680851,0.7771719272976176,0.6466037855690485,0.5804180418041804,0.5811852831020049,0.5796528235552626,42
machine-2-1,23495,3757,0.15990636305596936,0.8984589188370312,0.6127091663915112,0.6501619620546044,0.5749948843871496,0.7479371839233431,42
machine-2-2,23501,4933,0.209905961448449,0.8020114678877047,0.5307678514326287,0.5380530973451327,0.4134029590948651,0.7703223190756132,42
machine-2-3,23490,2189,0.09318859088974031,0.951210529818324,0.7482856921366783,0.6907521017950466,0.6871609403254972,0.6943809958885335,42
machine-2-4,23490,5568,0.23703703703703705,0.7989496180046486,0.6730918134489281,0.5737483085250338,0.9105818039828192,0.4188218390804598,42
machine-2-5,23490,4914,0.20919540229885059,0.90669119098275,0.7547334721099861,0.6409691629955947,0.8038674033149171,0.532967032967033,42
machine-2-6,28544,1821,0.06379624439461884,0.9195356317193438,0.5535292407982014,0.4692499111269108,0.6653225806451613,0.3624382207578254,42
machine-2-7,23497,4318,0.18376814061369537,0.6640989953477225,0.39584607075504213,0.35827212747416903,0.2449778685733742,0.666512274201019,42
machine-2-8,23504,360,0.01531654186521443,0.9958399345162653,0.972797674428686,0.9719101123595505,0.9829545454545454,0.9611111111111111,42
machine-2-9,28523,3647,0.12786172562493425,0.9843083167696859,0.904432993130537,0.8728133631461265,0.8387259858442871,0.9097888675623801,42
machine-3-1,28501,1104,0.03873548296550998,0.8449726789614647,0.6483608209722498,0.6672275978123685,0.6229379418695994,0.7182971014492754,42
machine-3-2,23504,2671,0.11364023144996596,0.751180929415275,0.4546857226987804,0.43615075009147464,0.4264758497316637,0.44627480344440285,42
machine-3-3,23504,5732,0.24387338325391422,0.7407388995980568,0.44791303952083517,0.5093667931135103,0.3827063053582391,0.7613398464759247,42
machine-3-4,23488,2514,0.10703337874659401,0.8897457351257863,0.6102888376349273,0.5608108108108107,0.7128834355828221,0.462211614956245,42
machine-3-5,23492,2474,0.10531244679039672,0.7889456090798871,0.48340383619719984,0.44421487603305787,0.6151645207439199,0.34761519805982216,42
machine-3-6,28527,3383,0.11858940652714972,0.9658744584783135,0.8115579654377211,0.7887204194416891,0.7574850299401198,0.8226426248891516,42
machine-3-7,28506,1429,0.05012979723566968,0.7838485419326007,0.5683862678117625,0.6136576239476147,0.92524682651622,0.45906228131560534,42
machine-3-8,28505,2565,0.089984213295913,0.7987771074649701,0.3104724504028807,0.35084175084175084,0.22372517444981213,0.8124756335282651,42
machine-3-9,28514,1099,0.038542470365434525,0.7934716570383733,0.5898848145900396,0.6118836915297092,0.5698587127158555,0.6606005459508644,42
machine-3-10,23494,3619,0.1540393291904316,0.6877858055232604,0.4255307793458736,0.3903170522707798,0.8684461391801716,0.25172699640784746,42
machine-3-11,28497,640,0.02245850440397235,0.9729998855763363,0.8933239984306813,0.9221854304635763,0.9806338028169014,0.8703125,42
